movie_id,title,movie_link,year,duration,genre,description,director,actors,rating
1,The Blues Brothers,https://www.imdb.com/title/tt0080455/,1980,133,"Action, Adventure, Comedy","Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised.",John Landis,"John Belushi, Dan Aykroyd, Cab Calloway, John Candy",7.9
2,The Shining,https://www.imdb.com/title/tt0081505/,1980,146,"Drama, Horror","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers",8.4
3,The Blue Lagoon,https://www.imdb.com/title/tt0080453/,1980,104,"Adventure, Drama, Romance","In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene.",Randal Kleiser,"Brooke Shields, Christopher Atkins, Leo McKern, William Daniels",5.8
4,Cannibal Holocaust,https://www.imdb.com/title/tt0078935/,1980,95,"Adventure, Horror","During a rescue mission into the Amazon rainforest, a professor stumbles across lost film shot by a missing documentary crew.",Ruggero Deodato,"Robert Kerman, Francesca Ciardi, Perry Pirkanen, Luca Barbareschi",5.9
5,Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/,1980,124,"Action, Adventure, Fantasy","After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",8.7
6,Airplane!,https://www.imdb.com/title/tt0080339/,1980,88,Comedy,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.,"Jim Abrahams, David Zucker, Jerry Zucker","Robert Hays, Julie Hagerty, Leslie Nielsen, Kareem Abdul-Jabbar",7.7
7,Caddyshack,https://www.imdb.com/title/tt0080487/,1980,98,"Comedy, Sport",An exclusive golf course has to deal with a brash new member and a destructive dancing gopher.,Harold Ramis,"Chevy Chase, Rodney Dangerfield, Bill Murray, Ted Knight",7.3
8,Raging Bull,https://www.imdb.com/title/tt0081398/,1980,129,"Biography, Drama, Sport","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent",8.2
9,The Elephant Man,https://www.imdb.com/title/tt0080678/,1980,124,"Biography, Drama","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",David Lynch,"Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud",8.1
10,Heaven'S Gate,https://www.imdb.com/title/tt0080855/,1980,219,"Adventure, Drama, Western","During the Johnson County War in 1890 Wyoming, a sheriff born into wealth does his best to protect immigrant farmers from rich cattle interests.",Michael Cimino,"Kris Kristofferson, Christopher Walken, John Hurt, Sam Waterston",6.8
11,Superman II,https://www.imdb.com/title/tt0081573/,1980,127,"Action, Adventure, Sci-Fi","Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth.","Richard Lester, Richard Donner","Gene Hackman, Christopher Reeve, Margot Kidder, Ned Beatty",6.8
12,Friday The 13Th,https://www.imdb.com/title/tt0080761/,1980,95,"Horror, Mystery, Thriller",A group of camp counselors are stalked and murdered by an unknown assailant while trying to reopen a summer camp which was the site of a child's drowning and a grisly double murder years before.,Sean S. Cunningham,"Betsy Palmer, Adrienne King, Jeannine Taylor, Robbi Morgan",6.5
13,Urban Cowboy,https://www.imdb.com/title/tt0081696/,1980,132,"Drama, Romance, Western",Bud is a young man from the country who learns about life and love in a Houston bar.,James Bridges,"John Travolta, Debra Winger, Scott Glenn, Madolyn Smith Osborne",6.4
14,Schizoid,https://www.imdb.com/title/tt0081459/,1980,89,"Drama, Horror, Mystery","An advice columnist in the midst of getting a divorce begins receiving threatening notes from an anonymous stalker. Meanwhile, members of her group therapy session are being murdered by an unknown assailant.",David Paulsen,"Klaus Kinski, Donna Wilkes, Marianna Hill, Craig Wasson",5.1
15,Nine To Five,https://www.imdb.com/title/tt0080319/,1980,109,Comedy,"Three female employees of a sexist, egotistical, lying, hypocritical bigot find a way to turn the tables on him.",Colin Higgins,"Jane Fonda, Lily Tomlin, Dolly Parton, Dabney Coleman",6.9
16,Flash Gordon,https://www.imdb.com/title/tt0080745/,1980,111,"Action, Adventure, Sci-Fi",A football player and his friends travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth.,Mike Hodges,"Sam J. Jones, Melody Anderson, Max von Sydow, Topol",6.5
